,ERCOT_Demand_MWh,ERCOT_VRE_MWh,Hour,Month,Time_Elapsed,delta_VRE,delta_Demand,delta_CO2,delta_NOx,delta_SO2
2022-01-12 10:00:00,44927.122725,8735.86,10,1,274,-756.4599999999991,-1507.2480250000008,-1291404.6990566403,-1535.5271100472382,-4591.527987218844
2022-01-12 11:00:00,43385.9362,8243.02,11,1,275,-492.84000000000015,-1541.1865250000046,-946337.28166271,-466.1312073678182,-1387.683785923953
2022-01-12 12:00:00,41907.072925,8112.32,12,1,276,-130.70000000000073,-1478.863274999996,-1402506.1195025444,-676.7669239967527,-1438.0581820334337
2022-01-12 13:00:00,40817.219725,8627.78,13,1,277,515.460000000001,-1089.8531999999977,-1420753.7649181038,-388.53171364194895,-760.6940566950798
2022-01-12 14:00:00,40238.481775,8328.599999999999,14,1,278,-299.1800000000021,-578.7379500000025,-105982.9909702465,386.0462413803052,-245.7651738107961
2022-01-12 15:00:00,40379.68945,7934.639999999999,15,1,279,-393.9599999999991,141.20767499999783,277198.33117333055,88.04157307868081,-322.805798524274
2022-01-12 16:00:00,41464.43035,6277.610000000001,16,1,280,-1657.0299999999988,1084.7409000000043,1842583.9871866032,728.1015904782562,2129.4231821646317
2022-01-12 17:00:00,43825.028325,2221.31,17,1,281,-4056.3000000000006,2360.597974999997,3450124.8931400627,772.3902747075681,3019.8258916843442
2022-01-12 18:00:00,44251.1774,862.52,18,1,282,-1358.79,426.1490750000012,3265517.539825268,705.716117495911,2240.8427728451898
2022-01-12 19:00:00,44092.6328,1055.49,19,1,283,192.97000000000003,-158.54460000000108,872679.7847212106,579.72788996075,1140.505728052176
2022-01-12 20:00:00,43400.892575000005,1217.1899999999998,20,1,284,161.69999999999982,-691.7402249999941,-458275.27801617235,-348.6024665068253,-85.7000331500567
2022-01-12 21:00:00,41860.4261,1216.4,21,1,285,-0.7899999999997362,-1540.4664750000084,-693691.6234833747,-39.71686333227444,-129.49492706011006
2022-01-12 22:00:00,40214.809550000005,1301.57,22,1,286,85.16999999999985,-1645.6165499999915,-1309076.7864450589,-532.7731679069711,-1735.9857016944698
2022-01-12 23:00:00,39183.247425,1816.4,23,1,287,514.8300000000002,-1031.562125000004,-2289051.722838238,-912.6751037084141,-1662.856216738619
2022-01-13 00:00:00,38782.567675,2370.4,0,1,288,554.0,-400.67975000000297,-1323368.5071726367,431.99446515244927,1020.3089850770302
2022-01-13 01:00:00,38914.25815,2951.63,1,1,289,581.23,131.69047500000306,-988065.0895473734,147.4068665214545,95.72723383012999
